sample_id,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],regression_target,classification_target
2234-13-1,8,7.157,2.41,0.21,6.55,0.97,0,0,0,2.58,3
108-42-9,1,0.0,1.23,0.2,2.13,0.68,0,1,0,0.33,3
106-43-4,1,0.0,1.23,0.22,3.21,0.84,0,0,0,1.8,1
108-87-2,0,0.0,0.0,0.34,3.48,1.67,0,0,0,2.32,1
101-81-5,0,5.614,2.21,0.19,4.15,1.47,0,0,0,2.97,1
636-28-2,4,0.0,1.25,0.36,5.21,0.6,0,0,0,3.7,1
610-39-9,0,4.808,1.74,0.14,2.24,0.99,0,1,8,0.21,3
2042-14-0,0,0.0,1.5,0.15,1.7,0.92,0,1,7,1.02,1
95-48-7,0,0.0,1.24,0.18,1.86,0.86,0,0,1,1.03,1
25311-71-1,2,5.096,1.39,0.28,2.99,2.96,0,1,14,2.12,3
87-40-1,3,0.0,1.25,0.21,3.62,0.77,0,0,1,2.84,1
4162-45-2,4,6.698,2.17,0.24,4.46,2.64,0,0,4,2.26,3
108-45-2,0,0.0,1.23,0.17,0.89,0.72,0,1,0,0.81,2
32598-11-1,4,6.347,2.32,0.21,5.99,1.22,0,0,0,5.08,1
488-23-3,0,0.0,1.26,0.21,3.56,1.47,0,0,0,2.82,1
21609-90-5,5,5.873,2.07,0.3,4.54,1.54,0,0,7,3.78,3
26225-79-6,1,5.828,1.4,0.21,1.67,2.18,0,0,10,2.16,2
101-84-8,0,5.614,2.21,0.16,3.4,1.31,0,0,2,2.57,1
83055-99-6,1,5.711,2.25,0.17,1.77,2.19,2,1,11,0.2,3
33629-47-9,0,4.849,1.6,0.2,3.81,2.65,0,1,8,3.29,1
206-44-0,0,8.486,4.12,0.15,4.76,1.65,0,0,0,3.5,1
71-55-6,3,0.0,0.0,0.61,2.23,0.36,0,0,0,0.59,3
29761-21-5,1,5.485,1.64,0.24,5.65,3.86,0,0,18,2.73,3
173584-44-6,1,7.224,2.57,0.14,2.78,2.78,2,1,17,2.72,3
57-74-9,8,4.89,0.34,0.25,5.47,1.46,0,0,0,4.29,1
57018-04-9,4,4.523,1.3,0.3,3.05,1.29,0,0,5,2.85,1
83-79-4,0,7.606,2.65,0.15,1.94,2.96,0,0,18,1.41,3
10113-28-7,1,3.446,1.23,0.24,2.01,1.12,0,0,7,2.76,2
58-90-2,4,0.0,1.26,0.21,3.62,0.61,0,0,1,2.16,3
16766-29-3,3,2.151,1.26,0.19,3.03,0.94,0,0,4,3.5,2
16605-91-7,2,6.019,2.31,0.19,4.95,1.26,0,0,0,3.85,1
634-67-3,3,0.0,1.26,0.21,3.31,0.66,0,1,0,2.0,1
13674-87-8,7,0.0,0.09,0.29,4.03,1.73,0,0,18,1.18,3
17109-49-8,3,5.316,1.93,0.42,3.78,2.02,0,0,9,1.51,3
